,Country_code,Country,Total Library Size,No. of TV Shows,No. of Movies,Cost Per Month - Basic ($),Cost Per Month - Standard ($),Cost Per Month - Premium ($),Movie_aveRating,TV_aveRating,GDP,Population,Gini_Index,Happiness_Share,Life_Satisfaction,Broadband_subscriptions,Cellular_subscriptions,averageRating,numVotes
1,AU,Australia,6114,4050,2064,7.84,12.12,16.39,6.868653100775190,6.868653100775190,1327836171068.51,25687041.0,34.3,93.989067,7.137,35.04937513,107.6632349,6.735294117647060,51170.882352941200
2,AT,Austria,5640,3779,1861,9.03,14.67,20.32,6.758839333691580,6.758839333691580,433258467676.515,8917205.0,30.2,88.242794,7.213,28.934986,118.6078386,6.72,56523.13333333330
4,BO,Bolivia,4991,3155,1836,7.99,10.99,13.99,6.776089324618730,6.776089324618730,36572764862.8234,10698896,43.6,55.744255,5.559,7.98352029,101.1250044,7.227272727272730,73955.27272727270
6,BG,Bulgaria,6797,4819,1978,9.03,11.29,13.54,6.806521739130420,6.806521739130420,69889347433.4324,6934015.0,40.3,55.744255,5.598,30.67745373,114.3527653,6.7,57580.92857142860
7,CA,Canada,6239,4311,1928,7.91,11.87,15.03,6.806172199170130,6.806172199170130,1645423407568.36,38005238.0,33.3,95.05088,7.025,41.80101115,95.63052761,6.785714285714290,74551.78571428570
8,CL,Chile,4994,3156,1838,7.07,9.91,12.74,6.846409140369970,6.846409140369970,252940023046.007,19116209.0,44.9,84.669342,6.151,19.62328707,131.1361447,7.414285714285710,58820.21428571430
9,CO,Colombia,4991,3156,1835,4.31,6.86,9.93,6.797384196185280,6.797384196185280,271437596293.843,50882884.0,54.2,91.594971,5.709,15.26008418,132.9967081,6.583333333333330,60612.583333333300
10,CR,Costa Rica,4988,3152,1836,8.99,12.99,15.99,6.735130718954270,6.735130718954270,61846895120.7808,5094114.0,49.3,88.242794,6.998,19.48767186,147.4714563,7.184615384615390,62899.07692307690
11,HR,Croatia,2274,1675,599,9.03,11.29,13.54,6.850083472454090,6.850083472454090,57203783203.0259,4047200.0,28.9,69.397995,6.508,25.11342137,106.58744,6.425,66751.5
12,CZ,Czechia,7325,5234,2091,8.83,11.49,14.15,6.803730272596840,6.803730272596840,245339322066.759,11614513.0,25.3,83.524231,6.897,35.50892471,121.3873944,7.011506776291170,68513.7819617529
13,DK,Denmark,4558,2978,1580,12.0,15.04,19.6,6.829746835443040,6.829746835443040,356084867685.639,5831404.0,27.7,93.775261,7.515,44.39997086,123.3403635,7.053333333333330,66363.6
14,EC,Ecuador,4992,3155,1837,7.99,10.99,13.99,6.819379422972230,6.819379422972230,98808010000.0,17643060.0,47.3,93.01165,5.354,13.30224915,87.77032593,7.2,61353.66666666670
17,FR,France,5445,3604,1841,10.16,15.24,20.32,6.751059206952750,6.751059206952750,2630317731455.26,67391582.0,32.4,89.61039,6.714,46.92102436,111.4556255,6.8933333333333300,59459.26666666670
18,DE,Germany,5668,3814,1854,9.03,14.67,20.32,6.76693635382957,6.76693635382957,3846413928653.71,83240525.0,31.7,86.134247,7.312,43.01628467,128.3062093,6.6875,53182.3125
19,GI,Gibraltar,6167,4079,2088,9.03,14.67,20.32,6.854789272030650,6.854789272030650,3081480000.00,33691.0,41.68,78.699997,6.229,57.8528827,120.2842646,7.011506776291170,68513.7819617529
21,GT,Guatemala,4767,3154,1613,7.99,10.99,13.99,6.815685058896480,6.815685058896480,77604632170.5853,16858333.0,48.3,78.699997,6.262,3.139231107,113.8153755,7.338461538461540,56044.230769230800
22,HN,Honduras,4989,3154,1835,7.99,10.99,13.99,6.787084468664850,6.787084468664850,23662231633.9139,9904608.0,48.2,87.207031,5.93,4.002723177,70.27693274,7.164285714285710,52055.5
23,HK,Hong Kong,4746,2883,1863,8.08,10.0,11.93,6.838647342995180,6.838647342995180,346585881503.635,7481800,43.4,89.278557,5.295,38.29649562,291.6536003,6.946666666666670,90714.86666666670
24,HU,Hungary,6884,4802,2082,7.64,10.71,13.78,6.815417867435150,6.815417867435150,155808436238.487,9749763.0,30.0,75.920395,6.038,33.80113207,106.9594676,6.95,63316.5
25,IS,Iceland,6387,4426,1961,9.03,14.67,20.32,6.782151963284050,6.782151963284050,21718075725.2054,366425.0,26.1,92.429024,7.575,41.55865468,123.4850239,7.3625,97827.9375
26,IN,India,5843,3718,2125,2.64,6.61,8.6,6.73138823529412,6.73138823529412,2660245248867.63,1380004385.0,35.7,80.518654,4.225,1.615212259,83.60189609,7.19375,68895.25
28,IE,Ireland,6486,4515,1971,9.03,14.67,20.32,6.788432267884330,6.788432267884330,425888950992.003,4994724.0,30.6,88.242794,7.035,30.70712258,105.9994702,6.84,30790.2
29,IL,Israel,5713,3650,2063,10.56,15.05,19.54,6.804895782840530,6.804895782840530,407100736594.064,9216900.0,38.6,77.462433,7.195,30.06260156,131.7076299,7.48,95393.33333333330
30,IT,Italy,5183,3545,1638,9.03,14.67,20.32,6.778449328449340,6.778449328449340,1888709443687.48,59554023.0,35.2,89.781746,6.488,29.53205548,128.6710064,6.914285714285710,65801.28571428570
31,JP,Japan,5475,3619,1856,8.73,13.13,17.45,6.804256465517250,6.804256465517250,5057758958706.64,125836021.0,32.9,86.45108,6.118,34.49910256,152.0316954,7.188235294117650,36085.52941176470
32,LV,Latvia,6450,4479,1971,9.03,11.29,13.54,6.759411466260780,6.759411466260780,33707320816.3036,1901548.0,34.5,68.833336,6.229,26.71002726,108.7562918,7.136363636363640,74727.36363636360
33,LI,Liechtenstein,3048,1712,1336,12.88,20.46,26.96,6.826571856287420,6.826571856287420,6684443550.01006,38137.0,34.9,88.242794,6.229,47.37463282,128.2626941,7.011506776291170,68513.7819617529
34,LT,Lithuania,6462,4490,1972,9.03,11.29,13.54,6.758215010141970,6.758215010141970,56546957475.4912,2794700.0,35.3,54.70763,6.391,29.27000036,174.2073307,6.763636363636370,74808.45454545450
35,MY,Malaysia,5952,3565,2387,8.29,10.65,13.02,6.786594051110180,6.786594051110180,337006066373.26,32365998.0,41.1,96.076927,5.428,10.37755702,135.0911492,7.076470588235290,51256.117647058800
37,MD,Moldova,3937,2473,1464,9.03,11.29,13.54,6.831625683060110,6.831625683060110,11915547262.6561,2620495.0,26.0,50.191204,5.812,17.82368852,84.7896473,7.011506776291170,68513.7819617529
38,MC,Monaco,5804,3806,1998,9.03,13.54,18.06,6.810510510510500,6.810510510510500,6816219303.25528,39244.0,34.9,88.242794,6.229,53.20065236,90.4260741,7.011506776291170,68513.7819617529
39,NL,Netherlands,5376,3779,1597,9.03,13.54,18.06,6.790670006261750,6.790670006261750,913865395789.886,17441139.0,29.2,92.429024,7.504,43.91638292,124.9790486,7.085714285714290,63129.5
40,NZ,New Zealand,6084,4003,2081,8.8,12.53,16.94,6.762710235463740,6.762710235463740,210700848973.509,5084300.0,32.5,94.067795,7.257,34.72389862,134.9319679,6.785714285714290,57262.857142857100
42,PY,Paraguay,4797,3155,1642,8.29,11.49,14.69,6.783252131546890,6.783252131546890,35670301496.1061,7132530.0,43.5,55.744255,5.653,5.356969473,110.1809661,7.484615384615390,69267.84615384620
43,PE,Peru,4986,3155,1831,6.11,8.56,11.01,6.849262697979240,6.849262697979240,202014363787.233,32971846.0,43.8,75.867767,5.999,7.927901427,131.7778873,7.457142857142860,58560.142857142900
45,PL,Poland,5109,3512,1597,7.13,10.58,14.76,6.82680025046963,6.82680025046963,596624355719.671,37950802.0,30.2,92.723495,6.139,21.69969988,130.3966794,6.8533333333333300,54293.333333333300
47,RO,Romania,5303,3832,1471,9.03,11.29,13.54,6.804282800815780,6.804282800815780,248715551366.635,19286123.0,34.8,67.778519,6.13,29.55136352,117.436131,7.125,60284.375
48,RU,Russia,5711,3624,2087,8.13,10.84,13.56,6.86406324868233,6.86406324868233,1483497784867.6,144104080.0,35.3,73.180542,5.495,23.21093835,163.5893357,7.025,141837.16666666700
49,SM,San Marino,2310,1937,373,9.03,14.67,20.32,6.773458445040220,6.773458445040220,1616369645.99635,33938.0,46.0,88.242794,6.229,32.7259303,114.4418193,7.011506776291170,68513.7819617529
50,SG,Singapore,6303,4109,2194,9.51,12.81,16.11,6.768687329079320,6.768687329079320,339998477929.985,5685807.0,35,92.748482,6.378,25.94036383,144.0514076,7.26,56094.8
51,SK,Slovakia,7035,5055,1980,9.03,11.29,13.54,6.763585858585860,6.763585858585860,105172564491.569,5458827.0,23.2,71.415527,6.519,31.16616437,133.5198718,7.0,104470.75
52,ZA,South Africa,5736,3686,2050,6.26,10.05,12.58,6.7457073170731800,6.7457073170731800,335442101366.417,59308690.0,63.0,77.42849,4.947,2.19707601,161.7965917,6.892857142857140,57187.642857142900
54,ES,Spain,5229,3536,1693,9.03,14.67,20.32,6.827170702894270,6.827170702894270,1281484640043.58,47351567.0,34.3,86.122795,6.502,33.9010443,119.0138278,7.028571428571430,62493.71428571430
55,SE,Sweden,4361,2973,1388,10.9,14.2,19.7,6.811095100864550,6.811095100864550,541220059459.25,10353442.0,29.3,95.261848,7.314,40.60768779,128.3247642,7.192857142857140,60329.42857142860
56,CH,Switzerland,5506,3654,1852,12.88,20.46,26.96,6.717602591792650,6.717602591792650,752248045730.11,8636896.0,33.1,93.775261,7.508,46.48383257,125.9442642,6.4071428571428600,61037.142857142900
57,TW,Taiwan,5105,3134,1971,9.74,11.9,14.07,6.745763571790960,6.745763571790960,668160000000.00,23570000.0,34.0,89.959511,6.751,29.55136352,120.72733215,6.81875,90365.6875
58,TH,Thailand,4948,2977,1971,8.34,10.43,12.52,6.762962962962950,6.762962962962950,501643653514.925,69799978.0,35.0,93.083336,5.885,16.6182187,166.6103677,7.228571428571430,93187.5
59,TR,Turkey,4639,2930,1709,1.97,3.0,4.02,6.844177881802220,6.844177881802220,719954821683.31,84339067.0,41.9,84.375,4.862,19.84235016,97.37848298,6.761538461538460,61264.46153846150
60,UA,Ukraine,5336,3261,2075,5.64,8.46,11.29,6.807855421686750,6.807855421686750,155498989149.587,44134693.0,25.6,68.300873,5.27,18.61701348,129.3411657,6.7846153846153800,97803.6153846154
61,GB,United Kingdom,6643,4551,2092,7.91,13.2,18.48,6.746414913957950,6.746414913957950,2759804061837.07,67215293.0,35.1,93.269226,6.798,40.49473168,116.3818566,6.99375,64393.5
62,US,United States,5818,3826,1992,8.99,13.99,17.99,6.789608433734940,6.789608433734940,20953030000000.0,329484123.0,41.5,91.081085,7.028,36.41390775,134.4588794,7.2,95195.5625
63,UY,Uruguay,4989,3154,1835,8.99,12.99,15.99,6.755531335149870,6.755531335149870,53628827440.3582,3473727.0,40.2,86.345383,6.31,29.24574794,138.0749359,7.076923076923080,62466.46153846150